Date,Price
13-Mar-09,0.1159
12-Mar-09,0.1161
11-Mar-09,0.1143
10-Mar-09,0.1126
9-Mar-09,0.1087
6-Mar-09,0.1089
5-Mar-09,0.1075
4-Mar-09,0.1106
3-Mar-09,0.1083
2-Mar-09,0.1084
27-Feb-09,0.111
26-Feb-09,0.1111
25-Feb-09,0.1116
24-Feb-09,0.1134
23-Feb-09,0.113
20-Feb-09,0.115
19-Feb-09,0.1145
18-Feb-09,0.1141
17-Feb-09,0.1131
16-Feb-09,0.1169
13-Feb-09,0.1193
12-Feb-09,0.1193
11-Feb-09,0.1197
10-Feb-09,0.1212
9-Feb-09,0.1243
6-Feb-09,0.1234
5-Feb-09,0.1208
4-Feb-09,0.1203
3-Feb-09,0.1218
2-Feb-09,0.1197
30-Jan-09,0.1193
29-Jan-09,0.1223
28-Jan-09,0.1243
27-Jan-09,0.124
26-Jan-09,0.125
23-Jan-09,0.1222
22-Jan-09,0.1213
21-Jan-09,0.1225
20-Jan-09,0.1187
19-Jan-09,0.1205
16-Jan-09,0.1225
15-Jan-09,0.121
14-Jan-09,0.1191
13-Jan-09,0.1206
12-Jan-09,0.1245
9-Jan-09,0.1258
8-Jan-09,0.1288
7-Jan-09,0.128
6-Jan-09,0.1271
5-Jan-09,0.127
2-Jan-09,0.1293
1-Jan-09,0.1282
31-Dec-08,0.128
30-Dec-08,0.1286
29-Dec-08,0.127
26-Dec-08,0.1255
25-Dec-08,0.1275
24-Dec-08,0.1251
23-Dec-08,0.1247
22-Dec-08,0.1266
19-Dec-08,0.1283
18-Dec-08,0.129
17-Dec-08,0.1314
16-Dec-08,0.1263
15-Dec-08,0.1249
12-Dec-08,0.1243
11-Dec-08,0.1259
10-Dec-08,0.1224
9-Dec-08,0.122
8-Dec-08,0.124
5-Dec-08,0.1196
4-Dec-08,0.121
3-Dec-08,0.122
2-Dec-08,0.1219
1-Dec-08,0.1202
28-Nov-08,0.1235
27-Nov-08,0.1254
26-Nov-08,0.1247
25-Nov-08,0.1271
24-Nov-08,0.1255
21-Nov-08,0.119
20-Nov-08,0.1202
19-Nov-08,0.1222
18-Nov-08,0.1245
17-Nov-08,0.125
14-Nov-08,0.1263
13-Nov-08,0.128
12-Nov-08,0.1232
11-Nov-08,0.1239
10-Nov-08,0.1274
7-Nov-08,0.1265
6-Nov-08,0.1261
5-Nov-08,0.1293
4-Nov-08,0.1316
3-Nov-08,0.1286
31-Oct-08,0.1286
30-Oct-08,0.1315
29-Oct-08,0.1316
28-Oct-08,0.1281
27-Oct-08,0.1243
24-Oct-08,0.126
23-Oct-08,0.131
22-Oct-08,0.1274
21-Oct-08,0.1288
20-Oct-08,0.1341
17-Oct-08,0.1347
16-Oct-08,0.135
15-Oct-08,0.1336
14-Oct-08,0.139
13-Oct-08,0.1402
10-Oct-08,0.1385
9-Oct-08,0.1404
8-Oct-08,0.1408
7-Oct-08,0.1404
6-Oct-08,0.1386
3-Oct-08,0.1416
2-Oct-08,0.1423
1-Oct-08,0.1437
30-Sep-08,0.1449
29-Sep-08,0.1474
26-Sep-08,0.151
25-Sep-08,0.1516
24-Sep-08,0.1511
23-Sep-08,0.1521
22-Sep-08,0.154
19-Sep-08,0.1514
18-Sep-08,0.1496
17-Sep-08,0.1487
16-Sep-08,0.1467
15-Sep-08,0.1481
12-Sep-08,0.1493
11-Sep-08,0.1472
10-Sep-08,0.1472
9-Sep-08,0.1483
8-Sep-08,0.1493
5-Sep-08,0.1508
4-Sep-08,0.1502
3-Sep-08,0.1527
2-Sep-08,0.1536
1-Sep-08,0.1544
29-Aug-08,0.1549
28-Aug-08,0.156
27-Aug-08,0.1564
26-Aug-08,0.1562
25-Aug-08,0.1575
22-Aug-08,0.158
21-Aug-08,0.1593
20-Aug-08,0.157
19-Aug-08,0.1573
18-Aug-08,0.157
15-Aug-08,0.1568
14-Aug-08,0.1582
13-Aug-08,0.1592
12-Aug-08,0.159
11-Aug-08,0.1587
8-Aug-08,0.1597
7-Aug-08,0.1633
6-Aug-08,0.1637
5-Aug-08,0.1634
4-Aug-08,0.1648
1-Aug-08,0.1643
31-Jul-08,0.1653
30-Jul-08,0.1651
29-Jul-08,0.1647
28-Jul-08,0.1664
25-Jul-08,0.1658
24-Jul-08,0.1655
23-Jul-08,0.1658
22-Jul-08,0.1669
21-Jul-08,0.1686
18-Jul-08,0.1677
17-Jul-08,0.1676
16-Jul-08,0.1664
15-Jul-08,0.1678
14-Jul-08,0.1676
11-Jul-08,0.1682
10-Jul-08,0.1668
9-Jul-08,0.1665
8-Jul-08,0.1664
7-Jul-08,0.1671
4-Jul-08,0.1673
3-Jul-08,0.1668
2-Jul-08,0.1674
1-Jul-08,0.1672
30-Jun-08,0.1663
27-Jun-08,0.1674
26-Jun-08,0.1675
25-Jun-08,0.1665
24-Jun-08,0.1653
23-Jun-08,0.1652
20-Jun-08,0.1659
19-Jun-08,0.1651
18-Jun-08,0.1653
17-Jun-08,0.1653
16-Jun-08,0.1658
13-Jun-08,0.1643
12-Jun-08,0.1647
11-Jun-08,0.1658
10-Jun-08,0.1649
9-Jun-08,0.1675
6-Jun-08,0.1693
5-Jun-08,0.1673
4-Jun-08,0.1655
3-Jun-08,0.1655
2-Jun-08,0.1657
30-May-08,0.1665
29-May-08,0.1664
28-May-08,0.1673
27-May-08,0.1685
26-May-08,0.1693
23-May-08,0.1695
22-May-08,0.169
21-May-08,0.1694
20-May-08,0.1683
19-May-08,0.167
16-May-08,0.1673
15-May-08,0.1656
14-May-08,0.1662
13-May-08,0.1663
12-May-08,0.1673
9-May-08,0.1668
8-May-08,0.1658
7-May-08,0.1653
6-May-08,0.1664
5-May-08,0.1654
2-May-08,0.1648
1-May-08,0.1654
30-Apr-08,0.1671
29-Apr-08,0.1663
28-Apr-08,0.1673
25-Apr-08,0.167
24-Apr-08,0.1682
23-Apr-08,0.1703
22-Apr-08,0.1713
21-Apr-08,0.1698
18-Apr-08,0.168
17-Apr-08,0.1689
16-Apr-08,0.1699
15-Apr-08,0.1679
14-Apr-08,0.1685
11-Apr-08,0.1673
10-Apr-08,0.1677
9-Apr-08,0.1687
8-Apr-08,0.1675
7-Apr-08,0.1677
4-Apr-08,0.1678
3-Apr-08,0.1675
2-Apr-08,0.1675
1-Apr-08,0.1662
31-Mar-08,0.1681
28-Mar-08,0.168
27-Mar-08,0.1678
26-Mar-08,0.1682
25-Mar-08,0.1662
24-Mar-08,0.1636
21-Mar-08,0.1637
20-Mar-08,0.164
19-Mar-08,0.1664
18-Mar-08,0.1658
17-Mar-08,0.1662
14-Mar-08,0.1657
13-Mar-08,0.1659
12-Mar-08,0.1649
11-Mar-08,0.1633
10-Mar-08,0.1632
7-Mar-08,0.1633
6-Mar-08,0.1638
5-Mar-08,0.1633
4-Mar-08,0.1628
3-Mar-08,0.1626
29-Feb-08,0.1622
28-Feb-08,0.1624
27-Feb-08,0.1618
26-Feb-08,0.1609
25-Feb-08,0.1593
22-Feb-08,0.1594
